ID,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
38,Low,Medium,Public,Neutral,5,No,Postgraduate,Near,Female,67
39,Low,Medium,Public,Positive,5,No,High School,Near,Female,63
40,Medium,High,Public,Negative,4,No,High School,Near,Male,64
41,High,High,Public,Neutral,1,No,College,Near,Male,67
42,Medium,High,Public,Neutral,2,Yes,College,Far,Female,65
43,Medium,Medium,Private,Positive,3,No,High School,Moderate,Male,64
44,Medium,Medium,Private,Negative,2,Yes,College,Near,Male,70
45,Medium,Medium,Private,Positive,3,No,Postgraduate,Far,Male,68
46,Medium,Medium,Public,Positive,3,No,High School,Moderate,Male,65
47,Medium,High,Private,Positive,3,No,College,Near,Female,68
48,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,64
49,Low,High,Public,Positive,2,No,High School,Moderate,Male,68
50,Medium,High,Public,Neutral,3,No,High School,Near,Male,63
51,Medium,Low,Public,Positive,4,No,College,Moderate,Male,64
52,Medium,Medium,Public,Neutral,3,No,College,Near,Male,64
53,Medium,Medium,Public,Positive,4,No,High School,Near,Male,67
54,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,67
55,High,High,Private,Neutral,4,Yes,Postgraduate,Far,Female,66
56,Low,High,Private,Positive,4,No,College,Moderate,Male,72
57,Medium,High,Public,Neutral,2,Yes,High School,Near,Female,65
58,Medium,Medium,Public,Positive,4,No,High School,Near,Male,71
59,Medium,High,Public,Positive,1,No,Postgraduate,Near,Female,66
60,Low,Medium,Private,Neutral,3,No,High School,Moderate,Male,68
61,High,Medium,Public,Negative,5,No,Postgraduate,Near,Female,70
62,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,62
63,Low,High,Private,Negative,4,No,Postgraduate,Far,Male,68
64,Low,Medium,Public,Neutral,3,No,College,Moderate,Male,67
65,Medium,High,Private,Neutral,3,No,Postgraduate,Near,Male,71
66,Medium,Medium,Public,Neutral,2,No,High School,Near,Male,68
67,Low,Medium,Public,Negative,3,No,Postgraduate,Near,Male,69
68,Medium,High,Private,Positive,2,No,High School,Moderate,Male,70
69,Low,High,Public,Negative,4,No,High School,Moderate,Female,69
70,Low,Medium,Public,Negative,4,No,College,Near,Male,65
71,Medium,Medium,Public,Positive,3,No,College,Near,Female,70
72,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,71
73,Low,Low,Public,Neutral,4,No,College,Near,Female,65
74,Medium,Medium,Public,Negative,1,No,Postgraduate,Near,Female,72
75,Medium,High,Private,Positive,4,No,College,Moderate,Male,69
76,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Female,66
77,Medium,Medium,Private,Neutral,3,No,Postgraduate,Moderate,Male,68
78,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Female,65
79,High,Medium,Public,Neutral,5,Yes,College,Moderate,Male,64
80,High,Medium,Public,Positive,3,No,College,Near,Male,60
81,Low,Medium,Public,Negative,2,No,High School,Near,Male,65
82,Low,Low,Public,Positive,3,No,High School,Near,Male,66
83,Medium,High,Public,Neutral,3,No,College,Near,Male,74
84,Medium,Medium,Private,Negative,3,No,High School,Far,Female,62
85,Low,Medium,Public,Positive,4,No,College,Moderate,Male,70
86,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,69
87,Medium,High,Private,Negative,4,No,College,Far,Male,67
88,Medium,Medium,Public,Neutral,0,No,High School,Moderate,Male,64
89,High,Medium,Public,Neutral,3,No,College,Near,Male,71
90,Medium,Medium,Public,Negative,3,No,College,Near,Female,68
91,Medium,High,Public,Neutral,4,Yes,College,Near,Male,64
92,Medium,Low,Private,Neutral,4,Yes,High School,Far,Female,63
93,High,Medium,Private,Positive,4,No,College,Near,Male,71
94,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,69
95,High,Medium,Private,Positive,2,No,College,Near,Female,100
96,Medium,Medium,Public,Neutral,3,No,College,Moderate,Male,68
97,Medium,Medium,Public,Negative,3,No,High School,Near,Male,62
98,Medium,Medium,Public,Positive,3,No,Postgraduate,Far,Female,68
99,Low,Medium,Private,Positive,3,No,High School,Far,Male,66
100,Medium,Medium,Public,Positive,3,No,College,Near,Male,64
101,Medium,High,Public,Neutral,3,Yes,High School,Moderate,Male,67
102,High,High,Public,Neutral,4,Yes,Postgraduate,Moderate,Female,65
103,Low,High,Private,Neutral,3,No,College,Far,Male,65
104,Low,High,Public,Positive,3,No,College,Near,Male,69
105,Low,Low,Private,Negative,3,No,High School,Near,Male,63
106,Medium,Medium,Public,Negative,4,No,Postgraduate,Moderate,Male,72
107,High,High,Public,Positive,5,No,Postgraduate,Moderate,Male,76
108,Low,Medium,Public,Positive,3,Yes,College,Near,Female,69
109,Low,High,Public,Positive,2,No,Postgraduate,Moderate,Female,67
110,Medium,High,Public,Positive,3,No,College,Near,Male,69
111,Low,Medium,Public,Neutral,2,No,High School,Moderate,Male,63
112,Low,High,Private,Positive,3,No,Postgraduate,Near,Male,67
113,Medium,Medium,Public,Negative,5,No,College,Near,Male,66
114,Medium,High,Private,Neutral,2,No,Postgraduate,Near,Female,79
115,High,Medium,Public,Neutral,3,No,High School,Near,Female,64
116,High,High,Public,Positive,3,No,High School,Near,Female,73
117,Low,High,Public,Positive,4,Yes,High School,Near,Male,63
118,Low,High,Public,Positive,2,No,High School,Near,Male,65
119,High,Medium,Public,Positive,5,No,High School,Near,Female,73
120,Low,Medium,Private,Positive,4,No,College,Moderate,Female,70
121,Low,High,Public,Positive,3,Yes,High School,Near,Female,68
122,Medium,Medium,Public,Negative,3,No,College,Near,Male,65
123,Low,Medium,Private,Positive,1,No,College,Moderate,Female,71
124,Medium,Medium,Public,Positive,2,No,College,Far,Male,64
125,High,Medium,Private,Neutral,3,Yes,College,Moderate,Male,68
126,Low,High,Public,Neutral,4,No,College,Near,Male,69
127,Medium,High,Private,Positive,4,No,College,Moderate,Female,69
128,Low,,Public,Neutral,4,No,High School,Far,Male,69
129,High,Low,Private,Positive,2,No,College,Near,Male,67
130,Medium,Medium,Public,Neutral,6,No,High School,Far,Female,68
131,Low,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,64
132,Low,High,Public,Positive,4,No,High School,Near,Female,66
133,Low,High,Public,Negative,3,No,High School,Near,Male,63
134,Low,High,Public,Neutral,2,No,High School,Moderate,Male,66
135,Low,High,Private,Negative,3,No,Postgraduate,Near,Female,66
136,Low,Medium,Private,Positive,3,No,College,Near,Female,67
137,Low,Medium,Public,Negative,1,No,High School,Near,Male,65
138,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,68
139,Low,High,Private,Positive,2,No,High School,Near,Male,68
140,High,Medium,Private,Neutral,1,Yes,High School,Near,Male,65
141,Medium,High,Public,Neutral,0,No,College,Near,Male,71
142,Low,Medium,Private,Negative,3,Yes,Postgraduate,Far,Male,65
143,Low,High,Public,Positive,1,Yes,Postgraduate,Near,Female,64
144,High,Medium,Private,Neutral,2,No,Postgraduate,Near,Female,72
145,Low,Medium,Public,Negative,2,Yes,High School,Near,Female,65
146,Low,High,Private,Negative,5,No,Postgraduate,Near,Female,66
147,Low,Medium,Private,Negative,4,No,High School,Near,Male,61
148,Medium,High,Public,Negative,3,No,College,Near,Female,68
149,Medium,Medium,Public,Negative,3,Yes,Postgraduate,Moderate,Female,69
150,Low,Medium,Public,Positive,3,No,College,Near,Female,72
151,Low,High,Public,Positive,3,No,Postgraduate,Near,Female,71
152,Low,High,Public,Negative,3,No,High School,Near,Female,70
153,Low,Medium,Public,Neutral,2,No,High School,Moderate,Male,68
154,Low,High,Public,Positive,2,No,High School,Moderate,Female,67
155,Low,High,Public,Neutral,4,No,High School,Near,Female,68
156,Medium,Medium,Public,Positive,2,No,Postgraduate,Near,Female,68
157,Medium,High,Public,Positive,4,Yes,High School,Far,Male,72
158,Medium,Medium,Public,Neutral,2,No,College,Near,Male,65
159,Medium,Medium,Private,Positive,4,No,High School,Near,Female,66
160,Low,High,Public,Negative,3,No,High School,Near,Male,65
161,Medium,Medium,Public,Negative,3,Yes,College,Near,Female,67
162,Medium,Medium,Public,Neutral,4,No,College,Far,Male,66
163,Medium,High,Public,Positive,4,No,High School,Far,Male,69
164,High,High,Public,Positive,3,No,College,Moderate,Male,66
165,High,Low,Public,Neutral,3,No,High School,Near,Male,69
166,Low,Medium,Public,Neutral,2,No,High School,Near,Male,67
167,Medium,Low,Private,Positive,3,No,High School,Near,Male,66
168,Low,Medium,Private,Neutral,3,No,College,Far,Male,71
169,Medium,High,Public,Neutral,4,No,College,Moderate,Male,70
170,Medium,High,Public,Positive,4,No,Postgraduate,Near,Male,71
171,High,Medium,Private,Positive,3,No,Postgraduate,Near,Male,66
172,Medium,High,Public,Negative,2,No,High School,Near,Male,67
173,Medium,Medium,Public,Neutral,4,Yes,College,Far,Female,66
174,Low,High,Public,Positive,2,No,Postgraduate,Near,Male,72
175,Medium,Medium,Public,Positive,3,No,High School,Near,Male,68
176,Low,High,Public,Positive,3,No,High School,Near,Female,69
177,Low,Low,Private,Positive,3,No,Postgraduate,Near,Male,71
178,Medium,Medium,Public,Neutral,2,No,Postgraduate,Far,Female,70
179,High,Low,Public,Neutral,4,No,College,Far,Female,67
180,High,Medium,Public,Positive,2,No,High School,Far,Male,69
181,Medium,Medium,Public,Neutral,1,No,High School,Moderate,Male,65
182,Low,Medium,Public,Neutral,4,No,College,Near,Male,65
183,Medium,High,Public,Neutral,4,No,High School,Near,Male,64
184,Low,Medium,Public,Negative,2,No,College,Near,Male,63
185,Low,Low,Public,Positive,2,No,High School,Moderate,Male,69
186,Low,High,Private,Neutral,5,No,College,Near,Female,64
187,High,Medium,Private,Positive,3,No,High School,Moderate,Male,72
188,Medium,Medium,Public,Neutral,4,No,High School,Near,Male,63
189,Low,Medium,Public,Positive,3,No,High School,Near,Female,64
190,High,Medium,Private,Neutral,4,No,College,Moderate,Male,64
191,Medium,Medium,Public,Positive,1,No,Postgraduate,Far,Male,67
192,Medium,High,Public,Positive,0,No,Postgraduate,Near,Male,71
193,Medium,Low,Public,Positive,4,No,High School,Near,Male,70
194,High,Medium,Private,Neutral,4,No,High School,Far,Female,61
195,Low,Medium,Public,Negative,4,No,College,Moderate,Male,67
196,High,High,Public,Negative,3,No,College,Near,Male,72
197,Low,Medium,Public,Negative,5,No,High School,Near,Male,66
198,High,Low,Public,Neutral,2,No,High School,Near,Male,70
199,Medium,Medium,Public,Neutral,4,Yes,High School,Near,Male,67
200,Medium,High,Public,Neutral,3,No,High School,Moderate,Female,67
201,High,Medium,Public,Neutral,2,No,College,Near,Female,71
202,Low,Medium,Private,Positive,4,No,College,Near,Male,66
203,Medium,Medium,Public,Positive,4,No,High School,Near,Male,68
204,High,Medium,Private,Positive,3,No,College,Near,Female,74
205,High,Medium,Public,Neutral,3,No,High School,Near,Male,64
206,Low,Medium,Private,Positive,3,No,College,Near,Male,65
207,Low,Medium,Public,Neutral,3,No,College,Near,Male,66
208,Medium,High,Public,Negative,3,Yes,High School,Near,Male,66
209,Medium,Medium,Public,Positive,5,No,High School,Near,Male,68
210,Medium,High,Public,Positive,1,No,High School,Near,Female,78
211,Medium,Medium,Private,Positive,2,No,High School,Moderate,Female,67
212,Medium,Medium,Private,Positive,3,No,High School,Near,Male,74
213,Low,High,Public,Positive,2,No,Postgraduate,Near,Male,74
214,Medium,Medium,Public,Neutral,2,Yes,High School,Near,Female,62
215,Medium,Medium,Public,Neutral,4,No,High School,Far,Male,66
216,Medium,High,Public,Neutral,3,No,High School,Far,Female,69
217,Low,High,Private,Positive,3,No,College,Near,Male,68
218,Medium,Medium,Public,Positive,2,Yes,High School,Moderate,Male,89
219,High,Medium,Private,Neutral,4,No,College,Near,Male,66
220,Medium,High,Public,Neutral,3,No,High School,Near,Female,68
221,Medium,Medium,Public,Positive,3,No,High School,Near,Male,69
222,Low,Medium,Public,Positive,4,No,College,Near,Male,67
223,Medium,Medium,Private,Positive,5,No,High School,Near,Male,75
224,Medium,Medium,Public,Positive,4,Yes,High School,Moderate,Female,60
225,Medium,High,Private,Positive,4,Yes,College,Moderate,Female,66
226,High,Medium,Private,Positive,3,No,College,Near,Female,73
227,Medium,High,Private,Neutral,2,No,High School,Near,Female,68
228,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,62
229,Low,High,Public,Positive,2,No,High School,Near,Male,62
230,Medium,Medium,Public,Neutral,4,No,High School,Far,Male,65
231,Low,Medium,Public,Negative,3,No,High School,Moderate,Male,69
232,Low,Medium,Public,Neutral,2,No,High School,Far,Female,64
233,Low,Low,Private,Positive,4,Yes,Postgraduate,Moderate,Female,67
234,Low,High,Public,Neutral,2,No,High School,Near,Male,70
235,Medium,High,Public,Neutral,3,No,College,Near,Female,70
236,Medium,High,Public,Positive,3,No,High School,Near,Female,69
237,Medium,High,Public,Positive,3,No,High School,Near,Male,61
238,Medium,Medium,Private,Neutral,2,Yes,Postgraduate,Moderate,Male,69
239,Medium,Medium,Public,Neutral,0,Yes,High School,Near,Male,63
240,Medium,High,Public,Neutral,4,Yes,High School,Near,Male,67
241,Medium,Medium,Public,Neutral,6,No,,Moderate,Male,65
242,High,High,Public,Neutral,4,No,High School,Moderate,Male,66
243,Medium,Medium,Public,Neutral,2,No,High School,Near,Male,63
244,Medium,Medium,Private,Negative,3,No,High School,Moderate,Female,68
245,Low,High,Public,Neutral,4,No,Postgraduate,Near,Male,65
246,Medium,Medium,Public,Positive,3,No,High School,Near,Male,67
247,Medium,High,Public,Neutral,3,No,Postgraduate,Near,Female,68
248,Low,Low,Public,Neutral,3,Yes,College,Near,Male,64
249,Medium,Medium,Private,Positive,3,No,College,Moderate,Male,71
250,Medium,Medium,Public,Neutral,5,No,High School,Near,Female,69
251,Medium,Medium,Public,Neutral,3,No,Postgraduate,Moderate,Male,67
252,High,Low,Public,Neutral,3,Yes,College,Moderate,Female,65
253,Medium,Medium,Public,Positive,2,No,High School,Near,Male,68
254,High,Medium,Private,Positive,3,No,Postgraduate,Moderate,Male,67
255,Medium,High,Public,Neutral,4,No,High School,Near,Male,67
256,Low,High,Public,Positive,3,No,High School,Near,Male,66
257,Medium,Medium,Public,Neutral,4,No,College,Moderate,Female,70
258,Medium,High,Private,Positive,4,No,Postgraduate,Moderate,Female,65
259,Medium,Low,Private,Positive,4,No,Postgraduate,Near,Female,69
260,High,High,Public,Positive,4,No,High School,Far,Female,65
261,High,Medium,Public,Neutral,3,Yes,College,Near,Male,63
262,Low,High,Private,Neutral,2,No,Postgraduate,Far,Female,67
263,Low,Medium,Public,Positive,3,No,High School,Near,Female,61
264,Medium,Medium,Public,Positive,2,No,High School,Near,Female,65
265,Low,Low,Public,Neutral,2,No,College,Near,Female,66
266,High,Low,Public,Neutral,3,No,College,Near,Male,66
267,High,High,Public,Negative,1,No,High School,Near,Male,69
268,Medium,Medium,Public,Positive,3,No,College,Moderate,Female,63
269,High,Medium,Public,Positive,6,No,Postgraduate,Near,Male,65
270,High,Medium,Public,Neutral,4,Yes,High School,Near,Male,67
271,High,Medium,Public,Negative,3,Yes,High School,Near,Female,69
272,Medium,Low,Public,Negative,2,No,Postgraduate,Near,Male,65
273,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,65
274,Low,Medium,Public,Neutral,2,No,College,Moderate,Male,65
275,Low,High,Public,Negative,5,No,College,Far,Female,67
276,Medium,Medium,Public,Negative,2,Yes,High School,,Male,66
277,Low,Medium,Public,Positive,3,No,High School,Near,Female,72
278,Low,Medium,Public,Positive,3,No,College,Near,Male,66
279,Medium,High,Private,Neutral,4,No,College,Far,Male,65
280,Low,Medium,Public,Neutral,3,No,High School,Moderate,Male,69
281,High,Low,Public,Neutral,2,No,High School,Near,Female,68
282,High,Medium,Public,Neutral,1,No,Postgraduate,Near,Male,64
283,Medium,Medium,Public,Negative,4,No,College,Moderate,Female,69
284,High,Medium,Public,Positive,1,Yes,High School,Moderate,Female,59
285,Medium,Medium,Private,Positive,3,No,High School,Moderate,Female,68
286,High,Medium,Private,Neutral,3,No,High School,Near,Female,60
287,High,Medium,Public,Negative,3,No,High School,Far,Male,62
288,Low,Low,Public,Negative,3,No,College,Near,Male,67
289,Medium,Medium,Private,Positive,5,No,High School,Far,Female,68
290,Medium,Medium,Public,Positive,3,No,High School,Moderate,Female,64
291,Low,High,Public,Positive,3,No,High School,Moderate,Female,65
292,Medium,Medium,Private,Positive,2,Yes,High School,Moderate,Female,65
293,Low,Low,Public,Neutral,3,No,High School,Near,Female,63
294,Medium,High,Public,Positive,3,No,High School,Near,Male,70
295,Medium,Medium,Public,Positive,3,No,High School,Near,Female,66
296,High,Medium,Public,Positive,3,No,High School,Near,Female,68
297,Medium,Medium,Private,Positive,3,No,High School,Near,Female,66
298,Medium,Medium,Private,Negative,1,No,College,Near,Male,63
299,Low,Medium,Public,Negative,3,Yes,College,Moderate,Female,66
300,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,65
301,Low,Medium,Public,Positive,2,No,Postgraduate,Moderate,Male,66
302,High,Low,Private,Positive,3,Yes,College,Moderate,Female,67
303,Low,Medium,Private,Positive,3,No,High School,Near,Male,66
304,Low,High,Public,Negative,3,No,High School,Near,Female,63
305,Medium,Medium,Public,Positive,4,Yes,High School,Near,Male,66
306,High,Medium,Public,Positive,3,No,College,Moderate,Male,67
307,Low,Medium,Public,Positive,3,No,High School,Near,Male,71
308,Low,Medium,Private,Neutral,2,No,High School,Near,Female,67
309,High,Low,Public,Neutral,4,No,High School,Moderate,Male,69
310,Low,Medium,Public,Negative,4,Yes,Postgraduate,Near,Female,67
311,Medium,Medium,Private,Positive,2,No,College,Moderate,Female,72
312,Low,Medium,Private,Negative,4,No,High School,Near,Female,70
313,Low,Medium,Private,Neutral,4,No,Postgraduate,Moderate,Male,67
314,Low,High,Public,Negative,3,No,High School,Far,Female,64
315,Medium,High,Private,Neutral,1,No,College,Moderate,Female,67
316,Medium,Medium,Private,Negative,4,No,Postgraduate,Near,Male,69
317,Low,Medium,Private,Positive,3,No,College,,Male,68
318,Low,Low,Public,Neutral,3,No,High School,Moderate,Male,63
319,High,High,Public,Negative,3,No,College,Near,Female,68
320,Medium,Medium,Public,Positive,3,No,High School,Near,Male,70
321,Medium,Medium,Public,Neutral,2,No,College,Moderate,Male,66
322,Low,High,Public,Negative,6,No,High School,Near,Female,68
323,Low,Medium,Private,Positive,3,No,College,Near,Male,67
324,Low,Medium,Private,Neutral,5,No,High School,Far,Female,69
325,Medium,Medium,Private,Negative,3,Yes,College,Near,Female,66
326,Low,Medium,Public,Neutral,3,No,High School,Near,Male,68
327,Medium,Low,Public,Neutral,2,Yes,Postgraduate,Moderate,Female,69
328,Medium,Medium,Private,Positive,3,No,Postgraduate,Moderate,Male,70
329,Medium,High,Private,Neutral,3,No,College,Near,Male,74
330,Low,High,Public,Positive,0,No,College,Moderate,Female,70
331,Medium,High,Public,Neutral,2,No,Postgraduate,Moderate,Male,66
332,Low,High,Private,Negative,3,No,College,Near,Female,69
333,Low,Medium,Public,Negative,3,No,Postgraduate,Near,Male,64
334,Low,Medium,Public,Positive,1,No,High School,Near,Male,62
335,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Female,70
336,Medium,Medium,Public,Negative,4,No,High School,Moderate,Male,68
337,Medium,High,Public,Neutral,3,No,College,Near,Female,65
338,Medium,Medium,Public,Positive,3,No,High School,Moderate,Male,65
339,High,High,Public,Positive,4,No,Postgraduate,Moderate,Female,71
340,Medium,Medium,Public,Neutral,5,No,High School,Near,Male,66
341,Low,Medium,Public,Negative,3,No,College,Moderate,Male,61
342,Medium,High,Public,Negative,5,Yes,High School,Near,Male,67
343,Low,High,Private,Neutral,2,No,College,Far,Male,65
344,Low,Medium,Public,Negative,3,No,High School,Near,Female,65
345,Low,Medium,Private,Positive,5,No,High School,Moderate,Male,65
346,Medium,Medium,Public,Positive,4,No,High School,Moderate,Male,73
347,Medium,Low,Public,Neutral,2,No,College,Near,Male,62
348,Medium,High,Public,Negative,2,No,College,Moderate,Female,60
349,Medium,Medium,Public,Positive,3,No,College,Moderate,Female,61
350,Low,Medium,Private,Neutral,3,No,Postgraduate,Far,Male,67
351,Medium,High,Private,Neutral,4,No,College,Near,Male,70
352,Medium,Medium,Public,Positive,1,No,College,Near,Male,69
353,Medium,Medium,Public,Positive,5,No,College,Far,Female,66
354,Low,High,Public,Positive,3,No,College,Moderate,Male,64
355,High,Medium,Private,Positive,2,No,Postgraduate,Moderate,Male,68
356,Low,Medium,Public,Positive,4,No,Postgraduate,Far,Female,67
357,Medium,Medium,Public,Neutral,1,No,College,Near,Female,64
358,Low,Medium,Public,Positive,2,No,College,Near,Male,65
359,High,Medium,Public,Positive,3,Yes,Postgraduate,Near,Female,66
360,Medium,Medium,Private,Positive,4,Yes,High School,,Female,63
361,Low,Low,Public,Negative,2,No,High School,Moderate,Female,68
362,Medium,Medium,Private,Negative,4,No,High School,Far,Male,66
363,Low,Low,Public,Neutral,5,No,High School,Near,Male,63
364,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,63
365,Medium,Medium,Public,Positive,4,No,College,Far,Male,74
366,Medium,High,Public,Positive,2,No,College,Moderate,Male,70
367,Low,Medium,Private,Neutral,3,No,High School,Near,Male,68
368,Medium,Medium,Public,Neutral,4,No,Postgraduate,Moderate,Female,66
369,Medium,Medium,Public,Positive,4,No,High School,Far,Male,63
370,Low,Medium,Public,Positive,3,No,College,Far,Female,67
371,Medium,Low,Public,Neutral,3,No,High School,Moderate,Male,62
372,Medium,High,Public,Positive,3,No,Postgraduate,Moderate,Male,71
373,Medium,Medium,Public,Neutral,4,No,Postgraduate,Near,Male,72
374,High,Medium,Private,Positive,2,No,Postgraduate,Near,Male,72
375,Low,High,Public,Neutral,3,No,High School,Far,Female,68
376,Medium,Medium,Public,Negative,5,No,High School,Near,Female,66
377,Low,Medium,Public,Positive,3,No,High School,Near,Male,70
378,Low,Medium,Private,Positive,4,No,Postgraduate,Near,Male,66
379,High,Medium,Private,Positive,3,No,Postgraduate,Near,Female,72
380,High,High,Public,Neutral,4,No,High School,Moderate,Female,64
381,Medium,Medium,Private,Negative,3,No,High School,,Female,63
382,Low,Medium,Public,Negative,2,No,Postgraduate,Far,Female,61
383,Low,Medium,Private,Negative,2,No,High School,Far,Male,62
384,Medium,High,Public,Positive,4,No,High School,Near,Female,68
385,Medium,Medium,Public,Positive,3,No,High School,Near,Male,68
386,Medium,Medium,Public,Positive,5,No,High School,Moderate,Male,63
387,Medium,Medium,Private,Neutral,4,No,High School,Moderate,Female,70
388,Low,Medium,Public,Neutral,3,No,Postgraduate,Near,Female,68
389,Low,Medium,Private,Neutral,5,No,High School,Near,Female,72
390,Low,Low,Public,Positive,3,No,College,Near,Male,67
391,Low,Medium,Private,Neutral,1,No,College,Near,Male,61
392,Low,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,69
393,Low,High,Private,Negative,2,No,High School,Moderate,Female,61
394,Medium,Medium,Public,Positive,3,No,College,Moderate,Male,75
395,High,Low,Public,Neutral,2,No,College,Moderate,Female,68
396,Medium,High,Public,Neutral,4,No,High School,Near,Male,65
397,Medium,,Public,Negative,3,No,College,Moderate,Female,67
398,Medium,Low,Public,Negative,6,No,High School,Near,Female,75
399,Medium,Medium,Public,Positive,3,No,College,Near,Male,64
400,Low,High,Public,Neutral,4,No,High School,Moderate,Male,70
401,Medium,Medium,Public,Neutral,4,No,High School,Moderate,Female,67
402,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,63
403,Medium,Medium,Public,Negative,4,No,College,,Female,65
404,Medium,Medium,Public,Positive,3,No,High School,Far,Female,67
405,High,Medium,Public,Neutral,3,No,College,Near,Male,86
406,Medium,High,Public,Neutral,3,Yes,High School,Moderate,Female,67
407,High,Medium,Public,Positive,4,No,Postgraduate,Far,Male,63
408,Medium,Low,Public,Neutral,3,No,College,Moderate,Female,66
409,Low,Medium,Private,Neutral,1,No,,Near,Male,65
410,Medium,Medium,Private,Neutral,3,No,High School,Near,Female,67
411,High,High,Public,Neutral,4,No,College,Near,Male,69
412,Medium,Low,Public,Positive,2,No,Postgraduate,Near,Male,66
413,High,Medium,Public,Neutral,2,No,High School,Moderate,Male,64
414,Low,Medium,Public,Negative,2,No,Postgraduate,Near,Female,73
415,Low,Medium,Public,Neutral,1,No,College,Far,Male,66
416,Low,Medium,Public,Negative,4,No,Postgraduate,Near,Female,68
417,Medium,High,Public,Positive,4,No,College,Moderate,Male,70
418,Low,Low,Private,Negative,2,No,,Near,Female,69
419,High,Medium,Public,Negative,4,No,High School,Near,Female,67
420,Medium,Medium,Private,Positive,3,No,College,Moderate,Male,62
421,Low,Medium,Public,Positive,2,No,High School,Near,Male,68
422,Low,Medium,Private,Neutral,4,No,Postgraduate,Near,Male,72
423,Medium,Low,Private,Positive,5,No,Postgraduate,Near,Male,69
424,High,High,Private,Negative,2,No,High School,Near,Male,66
425,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,70
426,Medium,Medium,Public,Positive,3,No,High School,Far,Male,71
427,Low,Low,Public,Negative,3,No,College,Near,Female,65
428,Low,High,Public,Positive,3,No,College,Near,Female,70
429,Medium,High,Public,Negative,4,Yes,High School,Moderate,Male,65
430,High,High,Private,Neutral,3,No,High School,Far,Female,62
